System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core8 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core9 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core10 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core11 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core12 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core13 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core14 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core15 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core16 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core17 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core18 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core19 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core20 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core21 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core22 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),Core23 (Socket 0),,Signal
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C4res%,C6res%,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),SYSTEM Energy (Joules),EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C4res%,C6res%,SKT0,SKT0,SKT0,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,,Temperature
2024-12-06,18:17:17.423,0.03,2.07,0.01,1.34,4.57,0.21,0.14,0.91,1.00,0.0001,0.0001,0.02,0.01,2328.29,1122.99,3419.14,4.15,69.11,0.06,0.95,1.02,12.97,0.00,86.01,0.00,100.00,0.00,0.00,0.00,8.41,0.00,0.00,0.00,0.03,2.07,0.01,1.34,4.57,0.21,0.14,0.91,1.00,0.0001,0.0001,0.02,0.01,61,2328.29,1122.99,3419.14,4.15,69.11,0.06,0.95,1.02,12.97,0.00,86.01,0.00,100.00,0.00,0.00,0.00,8.41,6.77,0.00,0.00,0.15,0.00,0.75,2.56,0.00,0.00,0.98,0.26,0.0058,0.0097,0.09,5.24,0.00,94.67,0.00,67,0.34,2.26,3419.14,0.30,5.06,0.00,0.00,0.00,0.86,0.00,0.65,2.20,0.04,0.02,0.88,0.57,0.0060,0.0029,0.35,4.99,0.00,94.66,0.00,67,6.63,7.68,3419.14,1.73,28.80,0.00,0.06,0.00,0.42,0.00,0.62,2.11,0.02,0.01,0.91,0.39,0.0121,0.0071,0.22,5.40,0.00,94.38,0.00,65,1.96,4.66,3419.14,0.84,14.02,0.00,0.02,0.00,0.28,0.00,0.65,2.20,0.00,0.00,0.91,0.47,0.0093,0.0069,0.01,5.61,0.00,94.38,0.00,65,0.05,0.19,3419.14,0.56,9.26,0.00,0.00,0.00,1.02,0.00,0.79,2.69,0.03,0.01,0.87,0.75,0.0039,0.0016,0.24,1.51,0.00,98.25,0.00,65,6.64,6.51,3419.14,2.04,33.99,0.00,0.06,0.00,0.29,0.00,0.41,1.39,0.00,0.00,0.92,0.23,0.0164,0.0140,0.06,1.68,0.00,98.25,0.00,65,0.25,0.87,3419.14,0.57,9.57,0.00,0.00,0.00,0.71,0.01,1.16,3.93,0.04,0.02,0.87,0.79,0.0024,0.0013,0.55,15.87,0.00,83.58,0.00,65,15.32,21.61,3419.14,1.42,23.63,0.01,0.15,0.00,0.60,0.00,0.33,1.12,0.01,0.00,0.85,0.28,0.0133,0.0049,0.10,16.32,0.00,83.58,0.00,65,0.66,1.09,3419.14,1.21,20.13,0.00,0.01,0.33,2.21,0.15,1.47,4.98,0.00,0.01,0.92,1.00,0.0000,0.0000,10.29,5.27,0.00,84.44,0.00,63,1137.66,515.93,3419.14,4.41,73.50,0.67,11.09,0.00,0.35,0.00,1.04,3.54,0.00,0.00,0.94,0.53,0.0051,0.0058,0.00,15.56,0.00,84.44,0.00,63,0.03,0.09,3419.14,0.71,11.82,0.00,0.00,0.34,2.15,0.16,1.41,4.79,0.01,0.01,0.92,1.00,0.0000,0.0000,11.08,86.71,0.00,2.21,0.00,63,1150.77,534.01,3419.14,4.31,71.83,0.67,11.22,0.00,0.33,0.00,0.72,2.44,0.00,0.00,0.98,0.45,0.0034,0.0073,0.03,97.76,0.00,2.21,0.00,63,0.22,0.66,3419.14,0.66,11.06,0.00,0.00,0.00,0.18,0.00,0.65,2.20,0.01,0.00,0.85,0.31,0.0139,0.0067,0.14,5.53,0.00,94.33,0.00,64,0.55,3.06,3419.14,0.36,5.96,0.00,0.01,0.00,0.54,0.00,1.01,3.44,0.02,0.01,0.92,0.50,0.0055,0.0034,0.16,5.52,0.00,94.33,0.00,64,2.96,5.45,3419.14,1.08,18.08,0.00,0.03,0.00,0.26,0.00,0.51,1.73,0.01,0.02,0.97,0.33,0.0042,0.0071,0.61,10.80,0.00,88.58,0.00,64,2.77,10.66,3419.14,0.52,8.65,0.00,0.03,0.00,0.13,0.00,0.98,3.32,0.00,0.00,0.90,0.37,0.0071,0.0054,0.06,11.36,0.00,88.58,0.00,64,0.25,1.92,3419.14,0.26,4.34,0.00,0.00,0.00,0.25,0.00,0.32,1.07,0.01,0.01,0.91,0.23,0.0159,0.0126,0.15,1.51,0.00,98.34,0.00,61,0.41,1.65,3419.14,0.50,8.35,0.00,0.00,0.00,0.13,0.00,0.93,3.15,0.00,0.00,0.94,0.57,0.0020,0.0030,0.04,1.40,0.00,98.55,0.00,61,0.18,1.41,3419.14,0.25,4.24,0.00,0.00,0.00,0.23,0.00,0.63,2.13,0.00,0.00,0.90,0.36,0.0111,0.0109,0.02,2.17,0.00,97.81,0.00,61,0.09,0.37,3419.14,0.47,7.78,0.00,0.00,0.00,0.30,0.00,0.56,1.92,0.00,0.00,0.81,0.57,0.0036,0.0068,0.01,2.16,0.00,97.83,0.00,61,0.06,0.19,3419.14,0.60,10.07,0.00,0.00,0.00,0.28,0.00,0.33,1.12,0.00,0.00,0.91,0.31,0.0137,0.0102,0.04,2.16,0.00,97.80,0.00,65,0.11,0.40,3419.14,0.55,9.17,0.00,0.00,0.00,0.15,0.00,0.30,1.04,0.01,0.01,0.91,0.13,0.0295,0.0193,0.18,2.31,0.00,97.52,0.00,65,0.27,1.85,3419.14,0.29,4.85,0.00,0.00,0.00,0.25,0.00,0.53,1.80,0.00,0.00,0.88,0.62,0.0037,0.0063,0.01,2.16,0.00,97.84,0.00,65,0.04,0.18,3419.14,0.50,8.35,0.00,0.00,0.00,0.25,0.00,0.68,2.31,0.00,0.00,0.92,0.49,0.0053,0.0070,0.01,2.29,0.00,97.70,0.00,65,0.07,0.29,3419.14,0.50,8.39,0.00,0.00,,38.000
